author,author_sex,author_work_count,rating_count,log_author_work_count,bins
fred gipson,male,26,83770.0,1.414973347970818,budding
fred hoyle,male,99,66.0,1.99563519459755,experienced
fred pellerin,male,13,113.0,1.1139433523068367,budding
fred r. david,male,29,442.0,1.462397997898956,budding
fred saberhagen,male,202,4185.0,2.305351369446624,legendary
fred uhlman,male,14,6884.0,1.146128035678238,budding
fred vargas,female,50,3752.0,1.6989700043360187,experienced
frederic morton,male,16,1198.0,1.2041199826559248,budding
frederick buechner,male,55,2179.0,1.7403626894942439,experienced
frederick douglass,male,779,45289.5,2.8915374576725643,legendary
frederick exley,male,6,3836.0,0.7781512503836436,newbie
frederick forsyth,male,148,21384.153846153848,2.1702617153949575,legendary
frederick marryat,male,405,4645.0,2.6074550232146687,legendary
frederick p. brooks jr.,male,5,11033.0,0.6989700043360189,newbie
frederik hetmann,male,108,18.0,2.03342375548695,legendary
frederik peeters,male,48,5813.0,1.6812412373755872,experienced
frederik pohl,male,642,38439.0,2.807535028068853,legendary
frederik van eeden,male,39,1133.0,1.591064607026499,experienced
freeman dyson,male,45,775.0,1.6532125137753437,experienced
freidoune sahebjam,male,17,2858.0,1.2304489213782739,budding
freya north,female,26,1871.0,1.414973347970818,budding
frida kahlo,female,47,37133.0,1.6720978579357175,experienced
fridrik erlings,male,5,209.0,0.6989700043360189,newbie
friedrich a. hayek,male,154,9915.0,2.187520720836463,legendary
friedrich engels,male,606,3169.5,2.782472624166286,legendary
friedrich glauser,male,66,40.0,1.8195439355418688,experienced
friedrich nietzsche,male,948,17087.666666666668,2.976808337338066,legendary
friedrich schiller,male,1017,6695.0,3.0073209529227447,legendary
friedrich wilhelm joseph schelling,male,219,110.0,2.3404441148401185,legendary
fritjof capra,male,47,8909.5,1.6720978579357175,experienced
fritz j. raddatz,male,64,38.0,1.806179973983887,experienced
fritz leiber,male,854,3845.3333333333335,2.931457870689005,legendary
fuminori nakamura,male,22,1305.0,1.3424226808222062,budding
fumio sasaki,male,8,21347.0,0.9030899869919435,newbie
fuyumi ono,female,101,1754.0,2.0043213737826426,legendary
fuyumi soryo,female,101,8504.0,2.0043213737826426,legendary
fynn,male,6,5369.0,0.7781512503836436,newbie
fyodor dostoyevsky,male,1493,78894.82142857143,3.1740598077250253,legendary
g. norman lippert,male,18,10532.5,1.255272505103306,budding
g. willow wilson,female,237,35832.75,2.374748346010104,legendary
g.a. aiken,female,51,14371.8,1.7075701760979363,experienced
g.a. henty,male,260,577.0,2.4149733479708178,legendary
g.b. edwards,male,2,1571.0,0.3010299956639812,newbie
g.b. hope,male,12,88.0,1.0791812460476249,budding
g.d. falksen,male,23,229.0,1.3617278360175928,budding
g.i. gurdjieff,male,46,560.0,1.662757831681574,experienced
g.j. meyer,male,9,5473.0,0.9542425094393249,newbie
g.j. walker-smith,female,17,4744.0,1.2304489213782739,budding
g.k. chesterton,male,1621,8477.272727272728,3.209783014848515,legendary
g.m. sudarta,male,13,37.0,1.1139433523068367,budding
g.p. ching,female,21,9638.0,1.3222192947339193,budding
g.p. taylor,male,39,547.0,1.591064607026499,experienced
gabbie s. duran,female,16,1042.0,1.2041199826559248,budding
gabriel (ao3),male,2,1663.0,0.3010299956639812,newbie
gabriel chevallier,male,13,522.0,1.1139433523068367,budding
gabriel farago,male,14,99.0,1.146128035678238,budding
gabriel kolko,male,20,62.0,1.3010299956639813,budding
gabriel sherman,male,2,1523.0,0.3010299956639812,newbie
gabriel tallent,male,3,37269.0,0.47712125471966244,newbie
gabriel wyner,male,3,6409.0,0.47712125471966244,newbie
gabriele wills,female,6,70.5,0.7781512503836436,newbie
gabriella lepore,female,11,642.0,1.0413926851582251,budding
gabriella poole,female,8,3845.0,0.9030899869919435,newbie
gabrielle douglas,female,4,2360.0,0.6020599913279624,newbie
gabrielle giffords,female,4,2441.0,0.6020599913279624,newbie
gabrielle roy,female,41,298.0,1.6127838567197355,experienced
gabrielle tozer,female,9,1129.0,0.9542425094393249,newbie
gabrielle zevin,female,15,58803.6,1.1760912590556813,budding
gaby rodriguez,female,2,4651.0,0.3010299956639812,newbie
gael baudino,female,19,624.5,1.2787536009528289,budding
gael greene,female,14,81.0,1.146128035678238,budding
gaelen foley,female,37,2590.0,1.568201724066995,experienced
gahan wilson,male,167,11.0,2.2227164711475833,legendary
gail anderson-dargatz,female,22,6046.0,1.3424226808222062,budding
gail carriger,female,48,26153.69230769231,1.6812412373755872,experienced
gail carson levine,female,42,42457.0,1.6232492903979006,experienced
gail dayton,female,28,1067.0,1.4471580313422192,budding
gail giles,female,11,4070.0,1.0413926851582251,budding
gail godwin,female,39,1874.0,1.591064607026499,experienced
gail herman,female,231,176.0,2.3636119798921444,legendary
gail honeyman,female,4,639836.0,0.6020599913279624,newbie
gail mchugh,female,7,53410.5,0.8450980400142568,newbie
gail sidonie sobat,female,12,24.0,1.0791812460476249,budding
gail simone,female,639,674.0,2.8055008581584002,legendary
gail tsukiyama,female,10,13027.75,1.0,newbie
gail z. martin,female,141,11517.0,2.1492191126553797,legendary
galaxy craze,female,7,6043.0,0.8450980400142568,newbie
galileo galilei,male,192,825.0,2.2833012287035497,legendary
gangaji,female,33,776.0,1.5185139398778875,experienced
gao xingjian,male,59,2627.0,1.7708520116421442,experienced
gar alperovitz,male,27,225.0,1.4313637641589874,budding
gardner mckay,male,15,348.0,1.1760912590556813,budding
gareth hinds,male,18,7223.0,1.255272505103306,budding
gareth l. powell,male,42,2988.0,1.6232492903979006,experienced
gareth p. jones,male,47,1296.0,1.6720978579357175,experienced
gareth roberts,male,61,3249.0,1.7853298350107671,experienced
garr reynolds,male,11,13550.0,1.0413926851582251,budding
garrett leigh,female,46,2142.3333333333335,1.662757831681574,experienced
