,author,sex,work_count,fan_count,author_avg_rating,author_rating_count,author_review_count
74114,shirow miwa,male,18,79,4.14,5874,230
74115,shirshendu mukhopadhyay,male,271,580,3.87,22324,1191
74116,shiv aroor,male,3,13,4.43,1356,155
74117,shiv kumar batalvi,male,25,577,4.3,2010,89
74118,shivanee ramlochan,female,6,79,4.57,122,46
74119,shivani,female,55,46,4.0,2089,75
74120,shiya ribowsky,male,2,3,3.88,529,51
74121,shizuki fujisawa,female,49,24,3.96,1618,193
74122,shizuko natsuki,female,36,6,3.52,460,72
74123,shizumu watanabe,male,58,2,3.9,1279,89
74124,shizuru hayashiya,female,29,6,3.95,1104,59
74125,shizuru seino,female,36,89,4.02,16580,381
74126,shlomo breznitz,male,9,3,3.88,89,16
74127,shlomo katz,male,3,1,4.5,16,5
74128,shlomo sand,male,16,109,4.06,1502,183
74129,shmuley boteach,male,35,57,3.69,2294,360
74130,shneur zalman,male,41,6,4.63,166,6
74131,sho fumimura,male,20,13,4.26,1397,38
74132,shoaib akhtar,male,1,19,3.64,614,63
74133,shoba narayan,female,8,20,3.65,1801,319
74134,shobasakthi,male,9,33,4.01,186,34
74135,shobha nihalani,female,13,31,3.77,373,163
74136,shobhaa dé,female,28,120,2.74,4476,413
74137,shobhit agarwal,male,1,5,3.17,87,5
74138,shoichi aoki,male,12,15,3.98,11947,102
74139,shoko conami,female,58,68,4.15,15575,306
74140,shoko ohmine,female,14,1,3.67,186,18
74141,shokoofeh azar,female,2,48,3.88,529,125
74142,sholeh wolpé,female,8,26,4.37,755,80
74143,sholly fisch,male,398,21,3.82,16954,1254
74144,sholom aleichem,male,146,112,4.1,3683,392
74145,shoma narayanan,female,22,60,3.42,976,111
74146,shona husk,female,83,639,3.7,8276,1374
74147,shona patel,female,5,98,3.9,2907,520
74148,shonagh koea,female,16,4,3.67,201,27
74149,shonah stevens,female,8,1,3.73,358,29
74150,shonda moralis,female,4,8,3.72,328,47
74151,shontaiye,female,12,20,4.35,948,120
74152,shoowa,female,36,17,3.7,480,42
74153,shorty rossi,male,2,5,4.22,461,50
74154,shoshana edwards,female,5,8,3.95,20,8
74155,shoshana felman,female,13,10,4.02,428,24
74156,shoshana s. bennett,female,6,2,4.04,171,31
74157,shoshana zuboff,female,12,220,4.07,2885,530
74158,shoshanna evers,female,47,475,3.87,6494,1252
74159,shota rustaveli,male,9,57,4.63,1710,79
74160,shotaro ishinomori,male,138,28,3.89,2581,248
74161,shouji gatou,male,39,46,4.08,6751,227
74162,shrabani basu,female,7,62,3.51,2644,415
74163,shraddha soni,female,2,10,3.49,41,15
74164,shreve stockton,female,4,39,3.98,2930,428
74165,shri na pendase,male,12,27,4.0,448,27
74166,shriram iyer,male,6,23,4.08,178,42
74167,shrruti patole clarence,female,4,5,3.82,435,41
74168,shubha vilas,male,12,99,4.32,878,342
74169,shubham arora,male,8,28,3.71,305,83
74170,shuchi singh kalra,female,7,119,3.65,661,230
74171,shuddhaanandaa brahmachari,female,4,4,4.45,559,19
74172,shuhei fujisawa,male,71,5,4.13,313,27
74173,shuho sato,male,68,1,3.82,724,27
74174,shuja nawaz,male,6,11,3.96,283,36
74175,shukery azizan,male,10,11,4.18,359,31
74176,shukyou,female,42,83,3.87,1165,374
74177,shulamit lapid,female,22,2,3.66,288,50
74178,shulamith firestone,female,5,92,3.94,2191,154
74179,shulem deen,male,4,200,4.25,4130,473
74180,shungiku nakamura,female,58,622,4.39,49046,1218
74181,shunmyō masuno,male,36,38,3.92,1901,246
74182,shunryu suzuki,male,21,375,4.24,36069,1306
74183,shusha guppy,female,6,4,3.8,246,42
74184,shutta crum,female,17,22,3.59,2204,487
74185,shuzo oshimi,male,82,140,3.99,13069,900
74186,shweta bachchan-nanda,female,1,9,2.76,260,60
74187,shweta taneja,female,15,51,3.83,362,106
74188,shwetabh gangwar,male,2,68,4.1,1006,170
74189,shy watson,female,8,4,4.68,91,11
74190,shyam narayan pandey,male,3,7,4.09,68,5
74191,shyamal gangopadhyay,male,29,7,3.87,102,25
74192,shyla colt,female,111,880,3.92,13022,2025
74193,shyla starr,female,30,15,3.59,566,79
74194,shéa macleod,female,74,306,3.89,13581,926
74195,shěn fù,male,8,6,3.68,1584,182
74196,shōhei ōoka,male,11,24,3.95,1234,121
74197,shōko tendō,female,3,70,3.64,3700,385
74198,shōtarō yasuoka,male,16,9,3.66,304,42
74199,shūichi yoshida,male,39,102,3.53,3886,526
74200,shūsaku endō,male,100,639,4.03,32139,4070
74201,si king,male,30,14,4.21,6166,195
74202,si page,male,5,50,4.13,160,110
74203,si spencer,male,76,11,3.54,2891,336
74204,sia figiel,female,6,34,3.68,706,101
74205,sian ann bessey,female,19,140,3.99,4238,1028
74206,sian phillips,female,43,3,3.53,1544,406
74207,sian prior,female,2,2,3.64,528,69
74208,sianne ngai,female,8,50,4.24,463,37
74209,siba al-harez,female,1,18,3.02,698,177
74210,siba shakib,female,9,29,3.9,2075,196
74211,sibel edmonds,female,2,79,4.33,568,80
74212,sibel k. türker,female,13,13,3.48,286,32
74213,sibella court,female,10,29,3.9,700,72
74214,sibella giorello,female,20,208,4.09,4555,754
74215,sibilla aleramo,female,23,27,3.8,1512,118
74216,sibte hassan,male,12,74,4.09,401,24
74217,sibylla matilde,female,10,466,4.01,3971,985
74218,sibylle grimbert,female,6,0,2.91,11,2
74219,sibylle knauss,female,16,4,3.33,341,40
74220,sibylle lewitscharoff,female,21,10,3.27,434,58
74221,sibylle von olfers,female,32,24,4.2,1399,163
74222,sicily duval,female,120,19,3.47,1307,130
74223,sid bahri,male,2,16,3.68,365,84
74224,sid caesar,male,5,4,3.93,149,24
74225,sid fleischman,male,58,105,3.69,35589,3043
74226,sid hite,male,16,4,3.5,733,136
74227,sid jacobson,male,46,18,3.91,5114,766
74228,sid marty,male,11,13,4.0,517,39
74229,sid waddell,male,12,1,3.82,137,14
74230,siddhant shekhar,male,4,10,4.48,29,1
74231,siddharth dhanvant shanghvi,male,3,82,3.62,2286,277
74232,siddhartha gigoo,male,7,18,3.7,273,60
74233,siddhartha mukherjee,male,26,3039,4.31,107727,9833
74234,siddhesh govind kabe,male,4,9,4.0,13,3
74235,siddique salik,male,8,24,3.94,516,55
74236,sidek baba,male,16,5,3.99,118,13
74237,sidharth rao,male,1,6,4.16,83,13
74238,sidney,male,35,0,3.56,204,11
74239,sidney b. simon,male,22,5,4.12,260,24
74240,sidney bristol,female,100,940,3.89,9487,1880
74241,sidney d. kirkpatrick,male,12,9,4.03,2079,233
74242,sidney dekker,male,19,22,4.17,773,78
74243,sidney greidanus,male,10,6,4.1,562,80
74244,sidney harris,male,38,1,3.83,360,51
74245,sidney knight,male,1,17,3.46,233,22
74246,sidney lanier,male,82,9,4.17,1567,203
74247,sidney lee,male,246,0,4.25,814,11
74248,sidney lumet,male,3,36,4.23,4976,324
74249,sidney poitier,male,15,92,3.71,11245,1315
74250,sidney powell,female,4,35,4.54,965,147
74251,sidney s. prasad,male,33,0,2.9,417,11
74252,sidney sheldon,male,145,6723,3.84,565161,18224
74253,sidreis keller agla,female,1,6,4.38,8,2
74254,siegfried engelmann,male,456,13,4.16,2471,302
74255,siegfried heinz-jürgen ahlborn,male,1,0,3.89,9,1
74256,siegfried kracauer,male,50,30,3.92,1418,86
74257,siegfried lenz,male,141,91,3.81,6813,556
74258,siegfried obermeier,male,37,9,3.69,168,23
74259,siegfried sassoon,male,87,112,4.12,6818,548
74260,sieglinde de francesca,female,12,6,4.54,35,4
74261,sieni a.m.,female,4,68,4.25,265,59
74262,sienna anderson,female,6,31,4.13,575,58
74263,sienna lane,female,6,358,3.58,3044,370
74264,sienna mercer,female,63,401,4.23,37604,1723
74265,sienna mynx,female,71,883,4.14,27262,2516
74266,sienna parks,female,8,96,4.15,1065,272
74267,sienna stapleton,female,11,23,3.86,465,87
74268,sienna stone,female,22,30,3.63,253,55
74269,sienna valentine,female,34,333,3.68,7147,916
74270,siera london,female,28,136,4.14,1681,575
74271,siera maley,female,7,463,4.04,8004,810
74272,sierra avalon,female,6,47,3.8,936,242
74273,sierra cartwright,female,61,1218,4.06,37906,3064
74274,sierra cross,female,6,59,4.14,750,128
74275,sierra d. waters,female,1,13,4.27,41,5
74276,sierra dafoe,female,49,39,3.52,1189,88
74277,sierra dean,female,41,549,3.95,23497,1665
74278,sierra demulder,female,5,411,4.2,3489,303
74279,sierra donovan,female,7,141,3.89,1368,286
74280,sierra hill,female,32,468,4.11,4600,1742
74281,sierra jaid,female,5,50,3.59,205,20
74282,sierra riley,female,26,445,3.89,15181,2111
74283,sierra rose,female,89,234,4.05,13355,998
74284,sierra simone,female,47,6729,4.06,85810,16552
74285,sierra summers,female,40,33,3.69,627,83
74286,sierra wolf,female,68,10,3.67,619,89
74287,sifiso mzobe,male,3,4,3.7,225,53
74288,sigal ehrlich,female,10,565,3.96,8819,819
74289,sigbjørn mostue,male,20,32,3.73,1993,103
74290,sigfrid lindhe,male,4,0,3.61,18,2
74291,sigge eklund,male,10,24,3.25,1887,147
74292,sigit susanto,male,10,16,3.72,321,56
74293,sigitas geda,male,63,14,3.99,459,24
74294,sigitas parulskis,male,49,118,3.85,3218,171
74295,sigizmund krzhizhanovsky,male,31,125,3.9,2997,379
74296,sigmund freud,male,1325,5255,3.82,186068,6704
74297,signe johansen,female,6,15,3.42,1707,221
74298,signe pike,female,7,766,4.13,5237,1001
74299,sigrid beate edvardsen,female,1,0,3.08,86,9
74300,sigrid combüchen,female,11,5,3.38,447,31
74301,sigrid damm,female,19,2,3.79,135,16
74302,sigrid ellis,female,18,7,4.02,2172,426
74303,sigrid heuck,female,57,2,3.87,295,25
74304,sigrid hunke,female,5,139,4.07,1036,182
74305,sigrid nunez,female,20,391,3.76,31628,4973
74306,sigrid rausing,female,25,31,3.65,3049,467
74307,sigrid undset,female,94,428,4.17,23755,2793
74308,sigrid weidenweber,female,10,7,3.96,578,43
74309,sigríður hagalín björnsdóttir,female,2,19,3.69,1216,124
74310,sigrún pálsdóttir,female,4,5,3.67,203,34
74311,sigurd f. olson,male,16,34,4.32,1958,169
74312,sigurd hartkorn plaetner,male,3,3,3.96,115,18
74313,sigurd hoel,male,30,9,3.85,641,30
74314,sigurður pálsson,male,53,2,3.97,483,38
74315,sihle khumalo,male,4,13,3.57,241,46
74316,siim land,male,29,44,4.04,293,29
74317,siiri enoranta,female,9,111,3.81,1297,210
74318,sijuan king,female,1,12,4.1,21,13
74319,silas house,male,26,666,4.03,17770,2310
74320,silas kitto hocking,male,24,5,4.09,423,51
74321,silas post,male,3,3,3.71,153,16
74322,silene lehto,female,4,2,3.62,100,12
74323,silla webb,female,11,336,4.01,2547,616
74324,silly willy,male,12,4,4.12,906,17
74325,silvana de mari,female,38,153,3.99,6032,547
74326,silvana gandolfi,female,18,9,3.94,951,75
74327,silvano agosti,male,16,2,3.59,144,10
74328,silver,male,240,2,3.79,416,55
74329,silver james,female,97,179,4.2,3522,535
74330,silver ravenwolf,female,32,425,3.75,16492,659
74331,silvester lavrík,male,20,6,3.91,240,28
74332,silvia arnie,female,4,14,3.37,373,55
74333,silvia bencivelli,female,10,5,3.41,133,26
74334,silvia bonizzi,female,2,10,4.48,40,28
74335,silvia borando,female,25,8,3.8,2103,445
74336,silvia federici,female,13,518,4.43,5374,561
74337,silvia garcía ruiz,female,18,83,3.83,2225,387
74338,silvia henriksdóttir,female,3,0,3.66,32,2
74339,silvia iskandar,female,5,23,3.46,177,43
74340,silvia miguens,female,20,4,3.53,167,19
74341,silvia molina,female,39,5,3.68,389,41
74342,silvia montemurro,female,12,29,3.92,318,111
74343,silvia moreno-garcia,female,114,1876,3.84,27982,6036
74344,silvia pattarini,female,7,3,4.5,26,18
74345,silvia pettem,female,22,1,3.84,543,81
74346,silvia rannamaa,female,8,3,3.93,1308,23
74347,silvia rhodes,female,5,2,3.67,180,22
74348,silvia roncaglia,female,59,0,3.63,183,18
74349,silvia tatiane maurer lane,female,3,1,3.54,26,3
74350,silvia tărniceriu,female,4,2,4.42,236,25
74351,silvia violet,female,131,620,3.82,23414,4169
74352,silvia ziche,female,77,17,3.94,750,108
74353,silviano santiago,male,41,9,3.67,193,23
74354,silvija šesto stipaničić,female,20,2,3.85,260,7
74355,silvina ocampo,female,98,147,4.1,5411,505
74356,silvio d'arzo,male,16,3,3.79,353,55
74357,silviu negut,male,14,18,4.22,32,1
74358,sima pandurović,male,11,4,4.0,120,9
74359,simcha whitehill,female,52,5,4.05,805,88
74360,simi bedford,female,2,7,3.62,156,21
74361,simi k. rao,female,6,324,3.51,845,194
74362,simin daneshvar,female,33,377,3.69,11511,840
74363,simon adams,male,145,30,4.07,3143,347
74364,simon armitage,male,100,204,3.9,10514,1391
74365,simon barnes,male,41,56,3.99,2114,332
74366,simon baron-cohen,male,26,145,3.76,5951,517
74367,simon bartolo,male,8,21,4.35,404,28
74368,simon beckett,male,19,1197,3.97,57960,3315
74369,simon birks,male,13,8,4.09,114,18
74370,simon blackburn,male,48,147,3.76,7449,507
74371,simon bond,male,24,1,3.64,516,59
74372,simon borowiak,male,14,3,3.5,164,9
74373,simon boulerice,male,65,148,3.89,3523,464
74374,simon bradley,male,18,2,3.97,732,123
74375,simon brett,male,251,271,3.63,32570,3635
74376,simon broughton,male,8,0,4.14,93,3
74377,simon bucher-jones,male,40,17,3.77,1073,104
74378,simon callow,male,102,56,3.98,4110,573
74379,simon cantan,male,30,8,3.61,870,123
74380,simon cheshire,male,86,12,3.55,954,181
74381,simon clark,male,171,239,3.95,26263,1796
74382,simon constable,male,1,6,3.98,193,11
74383,simon conway,male,7,44,3.63,452,61
74384,simon conway morris,male,18,12,3.89,359,42
74385,simon cowell,male,7,15,3.39,572,74
74386,simon critchley,male,74,203,3.74,7931,861
74387,simon de waal,male,36,7,3.22,1023,141
74388,simon denman,male,1,13,3.48,634,77
74389,simon dixon,male,16,6,3.61,492,47
74390,simon doonan,male,23,57,3.95,6157,681
74391,simon dubnow,male,22,0,3.96,68,6
74392,simon garfield,male,20,192,3.81,45263,2538
74393,simon gervais,male,8,166,4.21,8580,612
74394,simon goodson,male,18,51,3.93,3568,280
